"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"PADRON
HOMBRES","PADRON
MUJERES","PADRON
NO BINARIO","PADRON
ELECTORAL","LISTA
HOMBRES","LISTA
MUJERES","LISTA
NO BINARIO","LISTA
NOMINAL"
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,12,593,599,0,1192,587,596,0,1183
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,13,1154,1361,0,2515,1143,1349,0,2492
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,14,2616,2830,0,5446,2587,2798,0,5385
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,15,784,944,0,1728,778,940,0,1718
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,16,776,899,0,1675,765,890,0,1655
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,17,628,688,0,1316,619,683,0,1302
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,18,521,516,0,1037,517,511,0,1028
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,19,548,571,0,1119,541,568,0,1109
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,20,471,533,0,1004,466,528,0,994
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,21,216,225,0,441,215,223,0,438
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,22,628,739,0,1367,625,731,0,1356
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,23,319,361,0,680,314,361,0,675
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,24,390,466,0,856,387,462,0,849
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,25,614,677,0,1291,606,672,0,1278
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,26,680,726,0,1406,677,720,0,1397
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,27,1018,1094,0,2112,1006,1083,0,2089
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,28,645,763,0,1408,638,756,0,1394
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,29,800,918,0,1718,794,913,0,1707
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,31,1458,1648,0,3106,1439,1639,0,3078
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,32,923,1020,0,1943,914,1005,0,1919
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,33,1036,1192,0,2228,1024,1180,0,2204
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,34,603,793,0,1396,595,784,0,1379
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,35,551,655,0,1206,548,650,0,1198
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,36,999,1147,0,2146,985,1136,0,2121
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,37,575,740,0,1315,569,733,0,1302
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,39,622,715,0,1337,606,706,0,1312
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,40,1343,1549,0,2892,1326,1521,0,2847
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,42,327,347,0,674,323,343,0,666
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,43,2013,2333,0,4346,1978,2316,0,4294
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,44,1296,1390,0,2686,1273,1384,0,2657
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,45,201,282,1,484,198,276,1,475
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,46,1027,1130,0,2157,1022,1114,0,2136
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,47,1317,1507,0,2824,1299,1489,0,2788
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,48,164,193,0,357,163,192,0,355
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,618,805,868,0,1673,791,854,0,1645
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,619,968,1029,0,1997,953,1014,0,1967
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,634,1185,1475,0,2660,1176,1462,0,2638
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,635,1155,1307,0,2462,1141,1295,0,2436
29,TLAXCALA,1,APIZACO                                           ,3,APIZACO,636,675,806,0,1481,669,797,0,1466
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,49,375,437,0,812,373,432,0,805
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,50,193,211,0,404,188,208,0,396
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,51,186,190,0,376,182,189,0,371
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,52,57,66,0,123,56,64,0,120
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,53,626,646,0,1272,617,643,0,1260
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,54,232,273,0,505,231,272,0,503
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,55,190,207,0,397,188,205,0,393
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,56,654,694,0,1348,650,689,0,1339
29,TLAXCALA,1,APIZACO                                           ,4,ATLANGATEPEC,57,194,219,0,413,193,216,0,409
29,TLAXCALA,1,APIZACO                                           ,5,ATLTZAYANCA,59,504,595,0,1099,498,586,0,1084
29,TLAXCALA,1,APIZACO                                           ,5,ATLTZAYANCA,60,421,441,0,862,414,430,0,844
29,TLAXCALA,1,APIZACO                                           ,5,ATLTZAYANCA,61,250,262,0,512,248,258,0,506
